strategy_convergent_episode,network_convergent_episode,temptation,reward,punishment,sucker,final_strategy,defection_ratio,R+S-T-P,model
15898.0,34626.0,2.16,1.0,0.0,-0.68,1.0,0.9423843622207642,,DDQN
15898.0,32049.0,1.47,1.0,0.0,-0.62,1.0,0.9361914396286011,,DDQN
15898.0,34626.0,2.02,1.0,0.0,-0.73,1.0,0.9423843622207642,,DDQN
15898.0,30523.0,1.67,1.0,0.0,-0.18,1.0,0.9301182627677917,,DDQN
40578.0,55000.0,1.79,1.0,0.0,-0.65,1.0,0.9586689472198486,,DDQN
15898.0,16324.0,1.01,1.0,0.0,-0.72,1.0,0.8632075190544128,,DDQN
15898.0,34626.0,2.18,1.0,0.0,-0.46,1.0,0.9423843622207642,,DDQN
15898.0,19648.0,1.46,1.0,0.0,-0.86,1.0,0.8987683057785034,,DDQN
15898.0,16324.0,1.07,1.0,0.0,-0.21,1.0,0.7972923517227173,,DDQN
15898.0,16324.0,1.01,1.0,0.0,-0.93,1.0,0.8721514344215393,,DDQN
15898.0,24927.0,1.52,1.0,0.0,-0.02,1.0,0.848517656326294,,DDQN
40578.0,55000.0,1.77,1.0,0.0,-0.24,1.0,0.9309952855110168,,DDQN
15898.0,16324.0,1.01,1.0,0.0,-0.8,1.0,0.8632075190544128,,DDQN
15898.0,23720.0,1.92,1.0,0.0,-0.99,1.0,0.9180017113685608,,DDQN
15898.0,16324.0,1.12,1.0,0.0,-0.19,1.0,0.7973535656929016,,DDQN
40578.0,55000.0,1.76,1.0,0.0,-0.3,1.0,0.9416620135307312,,DDQN
15898.0,16324.0,1.06,1.0,0.0,-0.28,1.0,0.83913254737854,,DDQN
40578.0,55000.0,1.79,1.0,0.0,-0.24,1.0,0.9309952855110168,,DDQN
15898.0,30523.0,1.63,1.0,0.0,-0.93,1.0,0.9352946877479553,,DDQN
15898.0,20992.0,2.52,1.0,0.0,-0.65,1.0,0.9078696370124817,,DDQN
15898.0,16324.0,1.09,1.0,0.0,-0.89,1.0,0.8721514344215393,,DDQN
15898.0,16324.0,1.26,1.0,0.0,-0.15,1.0,0.741668701171875,,DDQN
15898.0,27098.0,1.01,1.0,0.0,-0.38,1.0,0.886965811252594,,DDQN
15898.0,20992.0,2.52,1.0,0.0,-0.67,1.0,0.9078696370124817,,DDQN
15898.0,20992.0,2.67,1.0,0.0,-0.94,1.0,0.9078696370124817,,DDQN
15898.0,18906.0,1.29,1.0,0.0,-0.69,1.0,0.8949539661407471,,DDQN
15898.0,33763.0,2.04,1.0,0.0,-0.68,1.0,0.9409412741661072,,DDQN
15898.0,23720.0,2.0,1.0,0.0,-0.28,1.0,0.8594856858253479,,DDQN
15898.0,24927.0,1.67,1.0,0.0,-0.37,1.0,0.9218116998672485,,DDQN
40578.0,55000.0,1.5,1.0,0.0,-0.12,1.0,0.9078275561332703,,DDQN
15898.0,30523.0,1.22,1.0,0.0,-0.53,1.0,0.9352946877479553,,DDQN
15898.0,16324.0,1.01,1.0,0.0,-0.88,1.0,0.8679245114326477,,DDQN
15898.0,34626.0,2.13,1.0,0.0,-0.29,1.0,0.9022988677024841,,DDQN
15898.0,34626.0,2.1,1.0,0.0,-0.25,1.0,0.9022988677024841,,DDQN
40578.0,43289.0,1.84,1.0,0.0,-0.44,1.0,0.9528055787086487,,DDQN
16208.0,34300.0,1.29,1.0,0.0,-0.24,1.0,0.9090378880500793,,DDQN
15898.0,17781.0,1.4,1.0,0.0,-0.51,1.0,0.8918508291244507,,DDQN
15898.0,23720.0,2.02,1.0,0.0,-0.48,1.0,0.9180017113685608,,DDQN
15898.0,20992.0,2.39,1.0,0.0,-0.58,1.0,0.9078696370124817,,DDQN
15898.0,20992.0,2.72,1.0,0.0,-0.97,1.0,0.9078696370124817,,DDQN
15898.0,34626.0,2.42,1.0,0.0,-0.89,1.0,0.9423843622207642,,DDQN
