agent1_strategy,agent1_reward,agent2_strategy,agent2_reward,temptation,reward,punishment,sucker,agent1_final_strategy,agent1_defection_ratio,agent2_final_strategy,agent2_defection_ratio,agent1_updating_times,agent2_updating_times,model
3000.0,7000.0,6000.0,7000.0,0.8,2.45,0.0,-0.20000000000000018,0.0,0.010857142508029938,0.0,0.017999999225139618,1750.0,1750.0,alternative
3000.0,1000.0,4000.0,1000.0,0.89,1.0,0.0,-0.55,1.0,0.9710000157356262,1.0,0.9580000042915344,750.0,1000.0,alternative
3000.0,6000.0,3000.0,6000.0,0.32,1.17,0.0,-0.6799999999999999,0.0,0.013166666962206364,0.0,0.01716666668653488,1500.0,1500.0,alternative
3000.0,1000.0,6000.0,4000.0,0.12,1.47,0.0,-0.88,1.0,0.9854999780654907,1.0,0.981333315372467,750.0,1500.0,alternative
3000.0,4000.0,3000.0,4000.0,0.23,1.8199999999999998,0.0,-0.7699999999999998,0.0,0.02500000037252903,0.0,0.025750000029802322,1000.0,1000.0,alternative
3000.0,17000.0,3000.0,17000.0,0.43,3.14,0.0,-0.5699999999999998,0.0,0.009705882519483566,0.0,0.00894117634743452,4250.0,4250.0,alternative
3000.0,4000.0,3000.0,3000.0,0.81,1.0,0.0,-0.3899999999999999,1.0,0.9815000295639038,1.0,0.9570000171661377,1000.0,750.0,alternative
3000.0,1000.0,3000.0,3000.0,0.85,2.06,0.0,-0.1499999999999999,1.0,0.9679999947547913,1.0,0.9653333425521851,750.0,750.0,alternative
3000.0,6000.0,3000.0,6000.0,0.02,2.37,0.0,-0.98,0.0,0.015833333134651184,0.0,0.021666666492819786,1500.0,1500.0,alternative
3000.0,6000.0,3000.0,5000.0,0.51,1.0,0.0,-1.3,1.0,0.984499990940094,1.0,0.9733333587646484,1500.0,1250.0,alternative
3000.0,4000.0,3000.0,1000.0,0.42,2.4299999999999997,0.0,-0.5799999999999998,1.0,0.9750000238418579,1.0,0.9729999899864197,1000.0,750.0,alternative
3000.0,5000.0,3000.0,3000.0,0.23,1.0,0.0,-1.09,0.0,0.015399999916553497,0.0,0.01899999938905239,1250.0,750.0,alternative
3000.0,1000.0,3000.0,2000.0,0.13,1.0,0.0,-1.6099999999999999,1.0,0.9746666550636292,1.0,0.9676666855812073,750.0,750.0,alternative
3000.0,1000.0,3000.0,1000.0,0.34,3.8,0.0,-0.6600000000000001,1.0,0.9806666374206543,1.0,0.9446666836738586,750.0,750.0,alternative
3000.0,4000.0,3000.0,4000.0,0.93,3.86,0.0,-0.06999999999999984,0.0,0.0215000007301569,0.0,0.04975000023841858,1000.0,1000.0,alternative
27000.0,28000.0,10000.0,28000.0,0.33,3.23,0.0,-0.6699999999999999,0.0,0.008964285254478455,0.0,0.00828571431338787,7000.0,7000.0,alternative
