,agent1_strategy,agent1_reward,agent2_strategy,agent2_reward,temptation,reward,punishment,sucker,agent1_final_strategy,agent1_defection_ratio,agent2_final_strategy,agent2_defection_ratio,agent1_updating_times,agent2_updating_times,model,game
89,3000.0,9000.0,5000.0,9000.0,0.25,1.89,0.0,-0.75,0.0,0.0219999998807907,0.0,0.0233333334326744,8936.0,8936.0,normal,SH
90,5000.0,7000.0,3000.0,1000.0,0.1,1.0,0.0,-1.42,1.0,0.977571427822113,1.0,0.9782857298851012,6936.0,2936.0,normal,SH
91,3000.0,8000.0,3000.0,8000.0,0.89,2.85,0.0,-0.1099999999999998,0.0,0.0188749991357326,0.0,0.0186250004917383,7936.0,7936.0,normal,SH
92,3000.0,3000.0,3000.0,3000.0,0.89,3.04,0.0,-0.1099999999999998,0.0,0.0430000014603138,0.0,0.0426666662096977,2936.0,2936.0,normal,SH
93,3000.0,3000.0,3000.0,3000.0,0.63,2.25,0.0,-0.3700000000000001,0.0,0.0416666679084301,0.0,0.0476666651666164,2936.0,2936.0,normal,SH
94,3000.0,3000.0,3000.0,2000.0,0.34,3.08,0.0,-0.6600000000000001,0.0,0.0406666658818721,0.0,0.0373333320021629,2936.0,2936.0,normal,SH
95,3000.0,2000.0,3000.0,3000.0,0.35,1.98,0.0,-0.6499999999999999,0.0,0.0453333333134651,0.0,0.0439999997615814,2936.0,2936.0,normal,SH
96,3000.0,7000.0,3000.0,6000.0,0.72,2.09,0.0,-0.2799999999999998,0.0,0.0219999998807907,0.0,0.0184285715222358,6936.0,5936.0,normal,SH
97,3000.0,8000.0,8000.0,8000.0,0.89,1.71,0.0,-0.1099999999999998,0.0,0.0170000009238719,0.0,0.0215000007301569,7936.0,7936.0,normal,SH
98,5000.0,5000.0,3000.0,6000.0,0.88,1.0,0.0,-1.02,0.0,0.0691666677594184,0.0,0.0701666697859764,4936.0,5936.0,normal,SH
99,3000.0,1000.0,3000.0,1000.0,0.77,1.0,0.0,-0.7999999999999999,1.0,0.95933336019516,1.0,0.9603333473205566,2936.0,2936.0,normal,SH
100,3000.0,1000.0,3000.0,1000.0,0.04,1.5,0.0,-0.96,1.0,0.9760000109672546,1.0,0.9683333039283752,750.0,750.0,alternative,SH
101,3000.0,4000.0,3000.0,3000.0,0.63,3.8,0.0,-0.3700000000000001,0.0,0.0257500000298023,0.0,0.0447500012814998,1000.0,750.0,alternative,SH
102,3000.0,4000.0,3000.0,4000.0,0.32,2.93,0.0,-0.6799999999999997,0.0,0.0209999997168779,0.0,0.0270000007003545,1000.0,1000.0,alternative,SH
103,3000.0,5000.0,3000.0,5000.0,0.51,2.39,0.0,-0.4899999999999997,0.0,0.0153999999165534,0.0,0.019200000911951,1250.0,1250.0,alternative,SH
104,3000.0,6000.0,3000.0,6000.0,0.9,1.0,0.0,-0.48,0.0,0.0154999997466802,0.0,0.0141666671261191,1500.0,1500.0,alternative,SH
105,3000.0,10000.0,3000.0,10000.0,0.25,1.0,0.0,-1.13,0.0,0.0124000003561377,0.0,0.0122999995946884,2500.0,2500.0,alternative,SH
106,3000.0,1000.0,3000.0,1000.0,0.41,1.0,0.0,-1.36,1.0,0.9679999947547911,1.0,0.971666693687439,750.0,750.0,alternative,SH
107,3000.0,3000.0,3000.0,3000.0,0.75,3.46,0.0,-0.25,0.0,0.0223333332687616,0.0,0.0576666668057441,750.0,750.0,alternative,SH
108,3000.0,5000.0,3000.0,5000.0,0.23,2.4,0.0,-0.77,0.0,0.0194000005722045,0.0,0.0182000007480382,1250.0,1250.0,alternative,SH
