strategy_convergent_episode,network_convergent_episode,temptation,reward,punishment,sucker,final_strategy,defection_ratio,game
15898.0,34300.0,0.85,2.06,0.0,-0.1499999999999999,1.0,0.8371720314025879,SH
32749.0,40468.0,0.02,2.37,0.0,-0.98,0.0,0.42384105920791626,SH
31883.0,32049.0,0.51,1.0,0.0,-1.3,1.0,0.9189366102218628,SH
44491.0,55000.0,0.42,2.4299999999999997,0.0,-0.5799999999999998,0.0,0.1742563247680664,SH
15898.0,16208.0,0.23,1.0,0.0,-1.09,1.0,0.8361920118331909,SH
15898.0,16324.0,0.13,1.0,0.0,-1.6099999999999999,1.0,0.8505268096923828,SH
17781.0,19040.0,0.34,3.8,0.0,-0.6600000000000001,1.0,0.7696954011917114,SH
44491.0,55000.0,0.93,3.86,0.0,-0.06999999999999984,0.0,0.20557859539985657,SH
44491.0,55000.0,0.33,3.23,0.0,-0.6699999999999999,0.0,0.17290055751800537,SH
15898.0,16324.0,0.52,1.22,0.0,-0.48,1.0,0.7789145112037659,SH
15898.0,27098.0,0.7,1.0,0.0,-0.91,1.0,0.9049376249313354,SH
17781.0,20119.0,0.37,2.74,0.0,-0.6300000000000003,1.0,0.6322382092475891,SH
40578.0,43588.0,0.96,1.76,0.0,-0.040000000000000036,1.0,0.8916215300559998,SH
15898.0,20992.0,0.95,1.0,0.0,-0.56,1.0,0.8926257491111755,SH
18091.0,20119.0,0.26,1.98,0.0,-0.74,1.0,0.7235448956489563,SH
39601.0,39830.0,0.5,1.0,0.0,-1.3599999999999999,1.0,0.9050213694572449,SH
24696.0,25532.0,0.3,3.64,0.0,-0.7000000000000002,1.0,0.7879915237426758,SH
15898.0,19040.0,0.29,1.04,0.0,-0.7100000000000001,1.0,0.7984243631362915,SH
32749.0,35413.0,0.05,2.65,0.0,-0.95,0.0,0.40626323223114014,SH
15898.0,35192.0,0.61,1.25,0.0,-0.39,1.0,0.8336837887763977,SH
24696.0,25532.0,0.5,2.08,0.0,-0.5,1.0,0.6198496222496033,SH
32749.0,35413.0,0.06,2.19,0.0,-0.94,0.0,0.3674639165401459,SH
15898.0,16404.0,0.28,1.0,0.0,-0.98,1.0,0.7970007061958313,SH
20404.0,20992.0,0.9,3.88,0.0,-0.10000000000000009,0.0,0.4798494577407837,SH
16404.0,16538.0,0.24,3.1,0.0,-0.7600000000000002,1.0,0.6163381338119507,SH
44491.0,55000.0,0.15,3.76,0.0,-0.8500000000000001,0.0,0.2650929093360901,SH
17781.0,20119.0,0.49,3.58,0.0,-0.5099999999999998,1.0,0.5265172123908997,SH
20404.0,21110.0,0.98,2.3899999999999997,0.0,-0.019999999999999574,0.0,0.1483183354139328,SH
17485.0,19253.0,0.25,3.69,0.0,-0.75,1.0,0.7230042219161987,SH
15898.0,27098.0,0.67,1.0,0.0,-0.98,1.0,0.9208428859710693,SH
15898.0,20992.0,0.76,1.0,0.0,-0.45999999999999996,1.0,0.8352229595184326,SH
15898.0,16208.0,0.24,1.0,0.0,-1.58,1.0,0.8470508456230164,SH
15898.0,16324.0,0.72,1.3,0.0,-0.28,1.0,0.7734624147415161,SH
16682.0,19040.0,0.37,1.55,0.0,-0.63,1.0,0.7277836203575134,SH
15898.0,16324.0,0.63,1.09,0.0,-0.3700000000000001,1.0,0.7099975347518921,SH
44491.0,47474.0,0.63,3.31,0.0,-0.3700000000000001,0.0,0.16724944114685059,SH
16404.0,27098.0,0.54,1.43,0.0,-0.45999999999999996,1.0,0.8163332939147949,SH
15898.0,16208.0,0.1,1.12,0.0,-0.9000000000000001,1.0,0.8205207586288452,SH
20404.0,21110.0,0.83,2.17,0.0,-0.16999999999999993,0.0,0.44092845916748047,SH
15898.0,16404.0,0.32,1.0,0.0,-1.12,1.0,0.857168972492218,SH
16404.0,16538.0,0.19,3.21,0.0,-0.81,1.0,0.7196758985519409,SH
15898.0,16208.0,0.05,1.0,0.0,-1.65,1.0,0.8587117195129395,SH
44491.0,55000.0,0.59,3.95,0.0,-0.41000000000000014,0.0,0.10493261367082596,SH
32749.0,34093.0,0.67,3.09,0.0,-0.33000000000000007,0.0,0.23048719763755798,SH
17642.0,18091.0,0.03,1.0,0.0,-1.18,1.0,0.8482670783996582,SH
40578.0,41109.0,0.51,1.0,0.0,-1.47,1.0,0.9129387736320496,SH
18091.0,19478.0,0.23,3.26,0.0,-0.77,1.0,0.7645548582077026,SH
32749.0,34093.0,0.64,2.83,0.0,-0.3599999999999999,0.0,0.23083917796611786,SH
41978.0,42275.0,0.18,2.92,0.0,-0.8199999999999998,0.0,0.24645771086215973,SH
32749.0,34093.0,0.69,3.09,0.0,-0.31000000000000005,0.0,0.2301938831806183,SH
32909.0,33228.0,0.39,1.0,0.0,-1.31,1.0,0.8361923694610596,SH
15898.0,20992.0,0.93,1.43,0.0,-0.06999999999999984,1.0,0.8165014982223511,SH
15898.0,16208.0,0.14,1.0,0.0,-1.4,1.0,0.8456317782402039,SH
18091.0,20119.0,0.34,3.45,0.0,-0.6600000000000001,1.0,0.6749838590621948,SH
18579.0,21256.0,0.12,2.49,0.0,-0.8800000000000003,1.0,0.8133233189582825,SH
