strategy_convergent_episode,network_convergent_episode,temptation,reward,punishment,sucker,final_strategy,defection_ratio,R+S-T-P,game,h
21256.0,27098.0,0.64,2.83,0.0,-0.3599999999999999,1.0,0.8219794631004333,1.83,SH,2
18294.0,18906.0,0.18,2.92,0.0,-0.8199999999999998,1.0,0.8008039593696594,1.92,SH,2
47261.0,47474.0,0.69,3.09,0.0,-0.31,0.0,0.1086910739541053,2.09,SH,2
15710.0,15898.0,0.39,1.0,0.0,-1.31,1.0,0.8733174204826355,-0.7000000000000001,SH,2
29532.0,36434.0,0.93,1.43,0.0,-0.0699999999999998,0.0,0.1385793536901474,0.43,SH,2
15710.0,15898.0,0.14,1.0,0.0,-1.4,1.0,0.8732544779777527,-0.5399999999999999,SH,2
16404.0,16905.0,0.34,3.45,0.0,-0.6600000000000001,1.0,0.8029577136039734,2.45,SH,2
19848.0,20275.0,0.12,2.49,0.0,-0.8800000000000003,1.0,0.8162761926651001,1.4899999999999998,SH,2
16538.0,16905.0,0.92,1.32,0.0,-0.08,0.0,0.6619343161582947,0.3199999999999999,SH,2
15710.0,15898.0,0.87,1.0,0.0,-0.88,1.0,0.8748270273208618,-0.75,SH,2
17485.0,18294.0,0.26,1.24,0.0,-0.74,1.0,0.8524652719497681,0.24,SH,2
29532.0,32049.0,0.66,1.3,0.0,-0.3400000000000001,0.0,0.3819463849067688,0.2999999999999999,SH,2
47261.0,55000.0,0.81,2.92,0.0,-0.1899999999999999,0.0,0.0866496562957763,1.92,SH,2
29532.0,40468.0,0.55,2.55,0.0,-0.4499999999999997,0.0,0.286918044090271,1.55,SH,2
24927.0,25741.0,0.53,3.55,0.0,-0.4699999999999997,0.0,0.4406200349330902,2.55,SH,2
55000.0,55000.0,0.25,1.89,0.0,-0.75,-1.0,0.3286944627761841,0.8900000000000001,SH,2
15710.0,15898.0,0.1,1.0,0.0,-1.42,1.0,0.8758334517478943,-0.5199999999999999,SH,2
16538.0,23720.0,0.89,2.85,0.0,-0.1099999999999998,0.0,0.4381956160068512,1.85,SH,2
47261.0,47474.0,0.89,3.04,0.0,-0.1099999999999998,0.0,0.1020558625459671,2.04,SH,2
29532.0,37495.0,0.63,2.25,0.0,-0.3700000000000001,0.0,0.2668622434139251,1.25,SH,2
18091.0,19040.0,0.34,3.08,0.0,-0.6600000000000001,1.0,0.7996323704719543,2.08,SH,2
16905.0,21552.0,0.35,1.98,0.0,-0.6499999999999999,0.0,0.5689030885696411,0.98,SH,2
47261.0,55000.0,0.72,2.09,0.0,-0.2799999999999998,0.0,0.0992902144789695,1.09,SH,2
47261.0,55000.0,0.89,1.71,0.0,-0.1099999999999998,0.0,0.073929339647293,0.7100000000000001,SH,2
15710.0,15898.0,0.88,1.0,0.0,-1.02,1.0,0.8782236576080322,-0.9,SH,2
16682.0,20119.0,0.77,1.0,0.0,-0.7999999999999999,1.0,0.8974601030349731,-0.57,SH,2
15898.0,21110.0,1.04,1.0,0.0,0.38,0.0,0.1423496007919311,0.3399999999999998,SD,2
15898.0,23921.0,1.64,1.0,0.0,0.94,0.0,0.1150453612208366,0.3,SD,2
15898.0,22957.0,1.32,1.0,0.0,0.73,0.0,0.1170884668827056,0.4099999999999999,SD,2
15898.0,21975.0,1.51,1.0,0.0,0.6,0.0,0.131467580795288,0.09,SD,2
15898.0,21110.0,1.91,1.0,0.0,0.16,0.0,0.2139270454645156,-0.75,SD,2
15898.0,17781.0,1.26,1.0,0.0,0.16,0.0,0.2867105305194855,-0.1,SD,2
24927.0,25532.0,1.42,1.0,0.0,0.07,0.0,0.1672802716493606,-0.3499999999999998,SD,2
29532.0,29807.0,1.76,1.0,0.0,0.86,0.0,0.0964203029870987,0.0999999999999998,SD,2
15898.0,16905.0,1.24,1.0,0.0,0.6,0.0,0.1321502476930618,0.3600000000000001,SD,2
29532.0,38628.0,1.09,1.0,0.0,0.7,0.0,0.0658589601516723,0.6099999999999999,SD,2
24927.0,25532.0,1.3,1.0,0.0,0.03,0.0,0.1689252704381942,-0.27,SD,2
15898.0,23828.0,1.17,1.0,0.0,0.96,0.0,0.1089474558830261,0.79,SD,2
15898.0,23720.0,1.93,1.0,0.0,0.83,0.0,0.1195615530014038,-0.0999999999999998,SD,2
15898.0,17781.0,1.81,1.0,0.0,0.22,0.0,0.2499296963214874,-0.5900000000000001,SD,2
29532.0,31101.0,1.64,1.0,0.0,0.19,0.0,0.1471013724803924,-0.4499999999999999,SD,2
29532.0,31101.0,1.87,1.0,0.0,0.19,0.0,0.1471013724803924,-0.6800000000000002,SD,2
15898.0,16905.0,1.81,1.0,0.0,0.31,0.0,0.2255545705556869,-0.5,SD,2
15898.0,20811.0,1.19,1.0,0.0,0.52,0.0,0.1378117352724075,0.33,SD,2
29532.0,33480.0,1.89,1.0,0.0,0.43,0.0,0.1160692945122718,-0.4599999999999999,SD,2
15898.0,16905.0,1.54,1.0,0.0,0.3,0.0,0.2525880038738251,-0.24,SD,2
15898.0,21552.0,1.81,1.0,0.0,0.61,0.0,0.1361822634935379,-0.2000000000000001,SD,2
15898.0,21110.0,1.9,1.0,0.0,0.15,0.0,0.2139270454645156,-0.75,SD,2
29532.0,32049.0,1.32,1.0,0.0,0.3,0.0,0.11607226729393,-0.02,SD,2
29532.0,32049.0,1.12,1.0,0.0,0.37,0.0,0.0924521833658218,0.25,SD,2
15898.0,18091.0,1.24,1.0,0.0,0.46,0.0,0.1629539579153061,0.2199999999999999,SD,2
24927.0,25741.0,1.43,1.0,0.0,0.78,0.0,0.1057068482041359,0.3500000000000001,SD,2
15898.0,17781.0,1.82,1.0,0.0,0.21,0.0,0.2517856061458587,-0.6100000000000001,SD,2
15898.0,16208.0,1.86,1.0,0.0,0.51,0.0,0.1834896355867386,-0.3500000000000001,SD,2
15898.0,21110.0,1.02,1.0,0.0,0.59,0.0,0.1153008043766021,0.5699999999999998,SD,2
15898.0,21110.0,1.52,1.0,0.0,0.06,0.0,0.2906205654144287,-0.4599999999999999,SD,2
15898.0,21552.0,1.42,1.0,0.0,0.61,0.0,0.1328414976596832,0.1899999999999999,SD,2
15898.0,17781.0,1.23,1.0,0.0,0.18,0.0,0.2850795686244964,-0.05,SD,2
15898.0,16324.0,1.13,1.0,0.0,0.07,0.0,0.3431756794452667,-0.0599999999999998,SD,2
15898.0,23828.0,1.34,1.0,0.0,0.94,0.0,0.1107520535588264,0.5999999999999999,SD,2
26548.0,29067.0,1.94,1.0,0.0,0.96,0.0,0.0964667871594429,0.02,SD,2
29532.0,30523.0,1.33,1.0,0.0,0.8,0.0,0.0899321809411048,0.47,SD,2
15898.0,20811.0,1.52,1.0,0.0,0.31,0.0,0.2057085186243057,-0.2099999999999999,SD,2
15898.0,16324.0,1.71,1.0,0.0,0.11,0.0,0.2765866219997406,-0.5999999999999999,SD,2
29532.0,30523.0,1.37,1.0,0.0,0.68,0.0,0.0940929800271987,0.31,SD,2
15898.0,18294.0,1.97,1.0,0.0,0.44,0.0,0.2079370319843292,-0.53,SD,2
15898.0,16324.0,1.96,1.0,0.0,0.13,0.0,0.2756064832210541,-0.8300000000000001,SD,2
15898.0,20811.0,1.26,1.0,0.0,0.5,0.0,0.1378117352724075,0.24,SD,2
29532.0,34300.0,1.5,1.0,0.0,0.04,0.0,0.1809037923812866,-0.4599999999999999,SD,2
24927.0,25171.0,1.31,1.0,0.0,0.9,0.0,0.1052004322409629,0.5899999999999999,SD,2
15898.0,16682.0,1.29,1.0,0.0,0.26,0.0,0.2179594784975052,-0.03,SD,2
15898.0,21552.0,1.05,1.0,0.0,0.66,0.0,0.1120545640587806,0.6100000000000001,SD,2
15898.0,16905.0,1.61,1.0,0.0,0.32,0.0,0.2253179550170898,-0.29,SD,2
15898.0,20811.0,1.51,1.0,0.0,0.52,0.0,0.1442025899887085,0.01,SD,2
26548.0,27755.0,1.06,1.0,0.0,0.55,0.0,0.1007025763392448,0.49,SD,2
15898.0,17781.0,1.29,1.0,0.0,0.19,0.0,0.2842359840869903,-0.1,SD,2
26548.0,29067.0,1.91,1.0,0.0,0.96,0.0,0.0962259620428085,0.05,SD,2
15898.0,20691.0,1.25,1.0,0.0,0.77,0.0,0.1299115568399429,0.52,SD,2
15898.0,23720.0,1.15,1.0,0.0,0.93,0.0,0.0985666140913963,0.7800000000000002,SD,2
29532.0,29971.0,1.49,1.0,0.0,0.89,0.0,0.0882853418588638,0.4000000000000001,SD,2
15898.0,21975.0,1.99,1.0,0.0,0.6,0.0,0.1364732682704925,-0.3899999999999999,SD,2
15898.0,23720.0,1.25,1.0,0.0,0.91,0.0,0.1037099510431289,0.6600000000000001,SD,2
15898.0,16324.0,1.68,1.0,0.0,0.1,0.0,0.2771379649639129,-0.5799999999999998,SD,2
29532.0,31101.0,1.76,1.0,0.0,0.2,0.0,0.1471013724803924,-0.56,SD,2
24927.0,25532.0,1.25,1.0,0.0,0.05,0.0,0.1681811064481735,-0.1999999999999999,SD,2
15898.0,16905.0,1.73,1.0,0.0,0.33,0.0,0.2253179550170898,-0.3999999999999999,SD,2
15898.0,21110.0,1.37,1.0,0.0,0.39,0.0,0.1385125517845153,0.02,SD,2
15898.0,16905.0,1.64,1.0,0.0,0.28,0.0,0.261875182390213,-0.3599999999999999,SD,2
15898.0,23720.0,1.64,1.0,0.0,0.82,0.0,0.1195615530014038,0.1799999999999999,SD,2
15898.0,20811.0,1.54,1.0,0.0,0.36,0.0,0.183556780219078,-0.1800000000000001,SD,2
24927.0,25532.0,1.1,1.0,0.0,0.29,0.0,0.1515353322029113,0.1899999999999999,SD,2
